NINDEX,sta,ngroups,elev,lat,lon,descr,lddate,DNORTH,DEAST,REFSTA,STANAME,COD,STATYPE,UNDERGROUND,ONDATE,OFFDATE
368,,4,0,45,45,,"2008-03-27 10:51:00",0,0,,,,NULL,,2008-03-26,NULL
493,3384,1,0,45,45,,"2021-02-02 10:21:34",0,0,,,3384,NULL,,2021-02-02,NULL
357,A1,1,248,58.164001,56.089901,,"2010-02-19 09:09:00",-0.195,-0.157,PR6,,,NULL,,NULL,NULL
358,A2,1,248,58.165501,56.096699,,"2010-02-19 09:09:00",-0.041,0.248,PR6,,,NULL,,NULL,NULL
359,A3,1,248,58.1679,56.0914,,"2010-02-19 09:10:00",0.24,-0.061,PR6,,,NULL,,NULL,NULL
360,A4,1,248,58.1698,56.096199,,"2010-02-19 09:11:00",0.447,0.224,PR6,,,NULL,,NULL,NULL
361,A5,1,248,58.165001,56.084,,"2010-02-19 09:11:00",-0.079,-0.499,PR6,,,NULL,,NULL,NULL
362,A6,1,248,58.1619,56.096802,,"2010-02-19 09:12:00",-0.432,0.249,PR6,,,NULL,,NULL,NULL
356,A7,1,248,58.165798,56.092499,,"2008-09-26 07:28:00",0,0,PR6,,,NULL,,NULL,NULL
31,AAA,1,800,43.27,76.95,????-???,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
121,AAK,2,1645,42.639,74.494003,,"2012-02-13 06:12:00",0,0,,,,NULL,,NULL,NULL
337,AB31,1,243,49.25559997558594,59.94309997558594,NULL,"2004-07-08 10:02:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
355,ABKAR,1,362,49.255798,59.9431,???????,"2007-05-22 05:40:00",0,0,,Akbulak,,NULL,,2007-05-22,NULL
7,ABKT,1,678,37.93,58.118999,"Alibek,Turkmenistan",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
268,AHID,1,1960,42.76539993286133,-111.10040283203125,NULL,"2002-11-28 13:02:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
425,AHMR,1,644,44.157001,41.043999,,"2013-02-06 09:46:00",0,0,,,,NULL,,2013-02-06,NULL
382,AIB,1,750,43.588402,40.185501,?????,"2011-11-29 09:39:00",0,0,,,,NULL,,2011-11-28,NULL
321,AKAR,2,1380,50.324981689453125,87.62129974365234,NULL,"2003-11-21 16:23:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
304,AKT,1,360,50.43470001220703,58.016700744628906,NULL,"2003-06-16 13:47:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
335,AKTK,1,360,50.43479919433594,58.016700744628906,NULL,"2004-07-08 09:54:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
456,AMD,1,48,69.761,61.678,,"2015-07-08 12:16:00",0,0,,,,NULL,,2015-07-08,NULL
241,AMDD,1,0,69.74400329589844,61.64799880981445,NULL,"2002-03-26 10:38:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
505,AMDE1,1,40,69.7218,61.6696,,"2024-08-08 05:19:01",0,0,,Amderma1,,NULL,,2019-10-02,NULL
376,AMKA,1,116,51.380001,179.300003,,"2011-02-04 10:20:00",0,0,,AMKA,,NULL,,2011-02-04,NULL
370,AML,2,3400,42.130001,73.690002,AML,"2008-10-10 09:24:00",0,0,,AML,AML,NULL,,2008-10-10,NULL
281,ANMO,3,1740,34.94599914550781,-106.45700073242188,NULL,"2002-11-28 14:29:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25,ANN,1,0,44.799999,37.432999,?????,"2013-08-21 09:58:00",0,0,,,,NULL,,NULL,NULL
247,APA0,5,240,67.5999984741211,32.9900016784668,NULL,"2002-03-26 10:43:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
245,APA1,1,0,67.60330200195312,32.99440002441406,NULL,"2002-03-26 10:41:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
246,APA2,1,0,67.60330200195312,32.99440002441406,NULL,"2002-03-26 10:42:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
248,APA3,1,240,67.60330200195312,32.99440002441406,NULL,"2002-03-26 10:44:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
250,APB1,1,240,67.60330200195312,32.99440002441406,NULL,"2002-03-26 10:45:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
251,APB2,1,0,67.60330200195312,32.99440002441406,NULL,"2002-03-26 10:46:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
252,APB3,1,240,67.60330200195312,32.99440002441406,NULL,"2002-03-26 10:46:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
253,APB4,1,0,67.60330200195312,32.99440002441406,NULL,"2002-03-26 10:47:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
254,APB5,1,240,67.60330200195312,32.99440002441406,NULL,"2002-03-26 10:47:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
249,APZ9,1,240,67.60330200195312,32.99440002441406,NULL,"2002-03-26 10:45:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
86,ARA0,1,403,69.53489685058594,25.505800247192383,NULL,"2000-08-17 05:07:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
36,ARCES,1,403,69.5349,25.5058,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
472,ARTI,2,315,56.387901,58.384899,"???? (?????)","2024-08-19 07:10:23",0,0,,,ARTI,NULL,,2018-09-09,NULL
419,ARU,5,250,56.43,58.563,,"2015-06-01 10:45:00",0,0,,,,NULL,,2012-10-11,NULL
257,ARU2,1,250,56.430198669433594,58.5625,NULL,"2002-08-13 11:34:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
76,ASAR,1,607,-23.666400909423828,133.90440368652344,NULL,"1999-08-05 11:07:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
53,ASH,1,220,37.95009994506836,58.349998474121094,NULL,"1998-03-27 07:31:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
377,ATKA,1,55,52.200001,-174.199997,,"2011-02-04 10:31:00",0,0,,,,NULL,,2011-02-04,NULL
427,BA1R,2,119,54.5891,55.7086,Уфа,"2021-10-19 11:47:26",0,0,,Ufa,BA1R,NULL,,2013-08-06,NULL
273,BBU,1,1291,40.74549865722656,-112.01119995117188,NULL,"2002-11-28 13:09:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
444,BELG,1,0,52.3922,47.6253,??????????,"2015-10-19 03:40:00",0,0,,,BELG,NULL,,2014-09-01,NULL
478,BER11,1,214,59.367,56.8031,"Березники, Зырянка","2018-10-31 03:59:00",0,0,,"Berezniki, Zyrianka",,NULL,,2018-05-30,NULL
274,BHU,1,3230,37.592498779296875,-112.85700225830078,NULL,"2002-11-28 13:09:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
120,BILL,1,299,68.06510162353516,166.45199584960938,NULL,"2000-12-01 08:33:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
407,BK-CHA,1,170,52.92131,27.301279,,"2012-07-26 04:09:00",0,0,,,,NULL,,2012-07-26,NULL
409,BK-GER,1,170,52.876621,27.28581,,"2012-07-26 04:12:00",0,0,,,,NULL,,2012-07-26,NULL
410,BK-GR1,1,170,52.877048,27.285761,,"2012-07-26 04:13:00",0,0,,,,NULL,,2012-07-26,NULL
411,BK-GR2,1,170,52.877102,27.286421,,"2012-07-26 04:13:00",0,0,,,,NULL,,2012-07-26,NULL
412,BK-GR3,1,170,52.876659,27.286539,,"2012-07-26 04:14:00",0,0,,,,NULL,,2012-07-26,NULL
434,BK-RU2,1,-445,52.852203,27.467628,,"2013-12-12 11:38:00",0,0,,,,NULL,,2013-12-12,NULL
408,BK-ZAM,1,170,52.885201,27.334999,,"2012-07-26 04:15:00",0,0,,,,NULL,,2012-07-26,NULL
486,BORK,2,334,53.046101,70.318398,,"2024-02-12 07:54:03",0,0,,"Burabay, Kazakhstan",,NULL,,2019-08-22,NULL
269,BOZ,1,1589,45.64699935913086,-111.62999725341797,NULL,"2002-11-28 13:03:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
113,BRAR,1,1.2430000305175781,39.85350036621094,32.760799407958984,NULL,"2000-10-31 12:49:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
397,BRCR,1,381,55.63496,88.299423,,"2023-11-15 07:01:34",0,0,,Berchikul,BRCR,NULL,,2013-01-01,NULL
431,BRK1,1,120,59.394829,56.85947,,"2013-11-06 07:35:00",0,0,,Berezniki-Reftek1,,NULL,,2013-11-06,NULL
436,BRK30,2,140,59.3809,56.827,Druzhba,"2022-04-14 14:24:34",0,0,,,,NULL,,2014-01-28,NULL
437,BRK31,1,140,59.3823,56.8244,Ber-Druzhba-sens1,"2014-01-28 05:56:00",0,0,,,,NULL,,2014-01-28,NULL
438,BRK32,1,140,59.3819,56.8276,Ber-Druzhba-sens2,"2014-01-28 05:57:00",0,0,,,,NULL,,2014-01-28,NULL
439,BRK33,1,140,59.3796,56.8263,Ber-Druzhba-sens3,"2014-01-28 06:24:00",0,0,,,,NULL,,2014-01-28,NULL
488,BRK8,1,147,59.3637,56.787,"Березники, Нартовка","2020-07-06 07:09:50",0,0,,"Berezniki, Nartovka",,NULL,,2014-10-01,NULL
295,BRVK,7,330,53.058,70.283,,"2014-06-23 05:23:00",0,0,,,,NULL,,2014-06-23,NULL
497,BSTK,1,168,54.841499,83.237396,Быстровка,"2023-11-15 07:08:49",0,0,,Bystrovka,BSTK,NULL,,2013-01-01,NULL
416,BSV1,1,175,59.402607,56.837746,,"2012-10-05 12:16:00",0,0,,,,NULL,,2012-10-05,NULL
417,BSV2,1,0,59.403801,56.834202,,"2012-10-05 12:31:00",0,0,,,,NULL,,2012-10-05,NULL
